2026-07-27 18:53:00,884 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0145.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0146.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0147.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0148.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0149.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0150.xml.gz
2026-07-27 18:53:00,885 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0151.xml.gz
2026-07-27 18:53:00,886 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0152.xml.gz
2026-07-27 18:53:00,886 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0153.xml.gz
2026-07-27 18:53:00,886 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0154.xml.gz
2026-07-27 18:53:00,886 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0155.xml.gz
2026-07-27 18:53:00,887 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0156.xml.gz
2026-07-27 18:53:00,887 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0157.xml.gz
2026-07-27 18:53:00,887 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0158.xml.gz
2026-07-27 18:53:00,887 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0159.xml.gz
2026-07-27 18:53:00,887 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0160.xml.gz
2026-07-27 18:53:00,888 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0161.xml.gz
2026-07-27 18:53:00,888 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0162.xml.gz
2026-07-27 18:53:00,888 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0163.xml.gz
2026-07-27 18:53:00,888 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0164.xml.gz
2026-07-27 18:53:00,888 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0165.xml.gz
2026-07-27 18:53:00,889 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0166.xml.gz
2026-07-27 18:53:00,889 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0167.xml.gz
2026-07-27 18:53:00,889 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0168.xml.gz
2026-07-27 18:53:00,889 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0169.xml.gz
2026-07-27 18:53:00,889 INFO pubmed.ingestion.pipeline: Already ingested, skipping: pubmed26n0170.xml.gz
